Member ID,Member Gender,Member Age,Member Duration(Month),Averaged Spending Per Transaction,Maximun Spending Per Transaction,Minimun Spending Per Transaction,Averaged Number of Transaction,Averaged Purchasing Discount Rate,Averaged Price in Favorite Shop,Averaged Tax Rate in Favorite Shop,Number of Goods in Favorite Shop,Number of Favorite in  Favorite Shop
5b9cb949,0,39,108,870,870,870,0.041666667,0,608.1463415,0.113333295,41,1528
fdae0a81,0,36,109,854.5,1419,290,0.083333333,0,656.5,0.113333342,20,1047
5cc011d1,0,43,109,1801.555556,7173.6,155,0.375,0.037777778,1242.692308,0.114350441,26,4334
d7d23041,0,35,108,465.7142857,660,310,0.291666667,0,1086.551724,0.120247568,58,3205
a137d6bf,0,45,21,2829.5,4249,1410,0.095238095,0,733.15625,0.119145296,64,407
633cfdc4,0,48,25,1580.625,3525,220,0.333333333,0.02970679,1340,0.10897436,33,2862
020fa0d9,0,56,161,242.5,320,130,0.25,0,608.1463415,0.113333295,41,1528
64477b85,1,46,139,2018.25,3046.5,990,0.083333333,0.1,589.8823529,0.116239291,17,603
7.3846E+66,0,33,108,482,482,482,0.041666667,0.073076923,829.75,0.113333345,40,3000
a5e87eca,0,53,117,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
2167c961,0,64,108,1243,1243,1243,0.041666667,0,829.75,0.113333345,40,3000
60db8f92,0,39,94,2560,2560,2560,0.041666667,0,1086.551724,0.120247568,58,3205
08e51da7,0,44,109,3056.5,4838,1275,0.083333333,0.079669499,1242.692308,0.114350441,26,4334
6278b615,0,44,150,1070,1070,1070,0.041666667,0,640.0943396,0.116403826,53,1712
c7c973aa,0,38,157,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
4ff760bd,0,47,109,3246,4633,2043,0.208333333,0.042285906,1242.692308,0.114350441,26,4334
c6a63c61,0,32,112,1200,1200,1200,0.041666667,0,1242.692308,0.114350441,26,4334
5276f412,0,53,148,4220,4220,4220,0.041666667,0,819.9300699,0.113902349,143,3158
98e271f8,0,42,23,1295.375,2641.5,260,0.173913043,0.057142857,1242.692308,0.114350441,26,4334
a97577fc,0,52,107,4622.5,4835,4410,0.083333333,0.08281985,1242.692308,0.114350441,26,4334
a926f7b8,0,42,134,620.5,1125,430,0.166666667,0.02,1086.551724,0.120247568,58,3205
12fdc723,0,39,109,1470,1470,1470,0.041666667,0,640.0943396,0.116403826,53,1712
86eadecb,0,61,121,1278.363636,4049,240,0.458333333,0.042930848,796.3636364,0.113332975,55,2347
6cad8f70,0,37,41,1426.666667,3330,130,0.25,0.037026558,1280.356164,0.114447958,73,562
587f094a,0,46,129,2084.222222,4385,329,0.375,0.03283082,1242.692308,0.114350441,26,4334
4966063e,0,47,124,3050,3610,2490,0.083333333,0,1086.551724,0.120247568,58,3205
3cb471e9,0,37,107,415,415,415,0.041666667,0,608.1463415,0.113333295,41,1528
c7274acc,0,46,107,1927.625,3888,350,0.333333333,0.05,1086.551724,0.120247568,58,3205
22458a79,0,35,122,200,200,200,0.041666667,0,608.1463415,0.113333295,41,1528
e9f17a78,0,37,107,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
f5daae1d,0,36,107,3428.571429,11305,270,0.291666667,0.016845558,1242.692308,0.114350441,26,4334
7590aa91,0,50,12,3465,3690,3240,0.166666667,0,1242.692308,0.114350441,26,4334
f169773d,0,36,24,1266.616667,2960,550,1.25,0.063793103,1340,0.10897436,33,2862
1c2b918c,0,44,105,1600,1600,1600,0.041666667,0,341.6,0.114350483,25,1746
9b6987c6,0,33,107,620,1120,300,0.208333333,0.052380952,829.75,0.113333345,40,3000
1ab7e246,0,36,151,450,600,300,0.083333333,0,819.9300699,0.113902349,143,3158
c31d5127,0,60,109,2665,2665,2665,0.041666667,0,1242.692308,0.114350441,26,4334
95d3fb1f,0,36,107,2270,2270,2270,0.041666667,0,640.0943396,0.116403826,53,1712
24aa338e,0,40,109,730,950,510,0.083333333,0.047619048,829.75,0.113333345,40,3000
2845e14f,0,42,107,1290,1290,1290,0.041666667,0,796.3636364,0.113332975,55,2347
3545ef9c,0,40,110,510,510,510,0.041666667,0,829.75,0.113333345,40,3000
65afbab3,0,40,136,1241.083333,3679,40,0.5,0.064074074,640.0943396,0.116403826,53,1712
d6a03b40,0,40,107,725,725,725,0.041666667,0,608.1463415,0.113333295,41,1528
8e48cbae,0,55,146,1391.0625,6246,117,0.333333333,0.11,819.9300699,0.113902349,143,3158
e1497b18,0,35,107,2340.666667,3430,1612,0.125,0,341.6,0.114350483,25,1746
ecffac91,0,37,107,700,970,430,0.083333333,0,608.1463415,0.113333295,41,1528
2bfca0a6,1,36,106,1048.5,1048.5,1048.5,0.041666667,0.1,1242.692308,0.114350441,26,4334
c2fe6586,0,40,148,1200.8,2367,199,0.208333333,0.154516578,640.0943396,0.116403826,53,1712
36749fdd,0,36,19,547.5,780,315,0.105263158,0,1280.356164,0.114447958,73,562
c80819dc,0,34,107,3566.5,5358,2182,0.208333333,0.034539474,1242.692308,0.114350441,26,4334
f983f863,0,27,106,2490,2490,2490,0.041666667,0,1340,0.10897436,33,2862
af156dfa,0,52,127,1856.333333,3159,24,0.25,0.211288084,1242.692308,0.114350441,26,4334
80cd992d,0,38,22,1421,4060,70,0.227272727,0.110505535,589.8823529,0.116239291,17,603
d14e1732,0,50,104,5398,13794,1115,0.125,0.063716263,1086.551724,0.120247568,58,3205
447db154,0,34,106,2218.72,4221.84,215.6,0.083333333,0.336129032,656.5,0.113333342,20,1047
07db1cbf,0,35,106,580,580,580,0.041666667,0,796.3636364,0.113332975,55,2347
9b36ad6a,1,33,106,1360,1360,1360,0.041666667,0,1280.356164,0.114447958,73,562
fd2fa317,0,51,21,276.8,375,49,0.238095238,0,829.75,0.113333345,40,3000
fa8e5577,0,33,142,300,360,260,0.125,0.072463768,608.1463415,0.113333295,41,1528
ab50fdad,0,38,106,4166,7020,1520,0.166666667,0.0375,2953.783784,0.113333334,37,550
05f24654,1,46,147,1061.666667,2340,275,0.125,0.048780488,1242.692308,0.114350441,26,4334
a749ff5f,0,37,2,936.55,2879,240,2,0.01,796.3636364,0.113332975,55,2347
52051632,0,49,105,1760,1760,1760,0.041666667,0,1242.692308,0.114350441,26,4334
03172a25,0,34,106,530,530,530,0.041666667,0,1340,0.10897436,33,2862
26a41c42,0,46,133,3138,6156,120,0.083333333,0.23125,1242.692308,0.114350441,26,4334
3907e46f,0,34,106,200,200,200,0.041666667,0,608.1463415,0.113333295,41,1528
c316a593,0,63,133,552,756,432,0.125,0.1,1280.356164,0.114447958,73,562
633e433a,0,38,23,880,880,880,0.043478261,0,1086.551724,0.120247568,58,3205
ae703cbf,0,42,105,364,560,168,0.083333333,0,1242.692308,0.114350441,26,4334
7d9d1397,0,38,91,80,80,80,0.041666667,0,608.1463415,0.113333295,41,1528
c07ac00d,0,39,106,520,520,520,0.041666667,0,341.6,0.114350483,25,1746
4565a8fd,0,39,105,2534.488889,9435,470.4,0.375,0.023980281,1340,0.10897436,33,2862
68b6b556,0,38,79,2693.25,5690,320,0.166666667,0,1242.692308,0.114350441,26,4334
728be59a,0,42,161,1150,1150,1150,0.041666667,0,640.0943396,0.116403826,53,1712
90a419b3,0,47,150,105,105,105,0.041666667,0,608.1463415,0.113333295,41,1528
c3023e57,0,39,160,300,300,300,0.041666667,0,1086.551724,0.120247568,58,3205
9cc07086,0,42,106,1121.8,2085,139,0.208333333,0,589.8823529,0.116239291,17,603
eacaeba4,0,49,14,2350.625,4930,760,0.571428571,0.007737543,1242.692308,0.114350441,26,4334
4aafbab5,1,33,105,334.5,429,240,0.083333333,0.147058824,796.3636364,0.113332975,55,2347
d1dfa4c7,0,59,135,1490.166667,5000,147,0.5,0.004873294,1242.692308,0.114350441,26,4334
8e3010f1,0,40,21,1385.166667,3490,280,0.285714286,0.073857527,640.0943396,0.116403826,53,1712
f05d5f0b,0,55,149,1780.5,3000,520,0.166666667,0,608.1463415,0.113333295,41,1528
84d946ed,0,35,111,180,180,180,0.041666667,0,341.6,0.114350483,25,1746
70fbe72b,0,39,105,359.5,399,320,0.083333333,0,829.75,0.113333345,40,3000
39642377,0,35,23,478.24,478.24,478.24,0.043478261,0.02,341.6,0.114350483,25,1746
fd2965dc,0,46,104,2557.75,6914,194,0.333333333,0,796.3636364,0.113332975,55,2347
de02909c,0,51,154,1621,2682,560,0.083333333,0.05,1086.551724,0.120247568,58,3205
49be88ea,0,47,111,1695,1760,1630,0.083333333,0.086892202,1242.692308,0.114350441,26,4334
4998aaaa,0,36,64,85,85,85,0.083333333,0,341.6,0.114350483,25,1746
2a8d7cc8,0,48,104,1162.285714,3176,250,0.291666667,0.085714286,341.6,0.114350483,25,1746
4b52bb49,1,48,104,1340,1340,1340,0.041666667,0,1242.692308,0.114350441,26,4334
ad20e57d,0,53,147,950,950,950,0.041666667,0,796.3636364,0.113332975,55,2347
5c1a78bb,0,46,3,420,420,420,0.333333333,0,1242.692308,0.114350441,26,4334
8a34b100,0,39,104,620,620,620,0.041666667,0,1340,0.10897436,33,2862
8eecc95b,0,39,21,1690,1690,1690,0.047619048,0,1086.551724,0.120247568,58,3205
8a42db86,0,45,5,2230,2230,2230,0.2,0,1086.551724,0.120247568,58,3205
099b0377,0,43,161,350,350,350,0.041666667,0,341.6,0.114350483,25,1746
17ad217f,0,35,145,5250,5250,5250,0.041666667,0,640.0943396,0.116403826,53,1712
950332f8,0,37,63,1910,1910,1910,0.041666667,0,1340,0.10897436,33,2862
a7a43177,0,40,23,2994.166667,6264,300,0.260869565,0.082608696,1086.551724,0.120247568,58,3205
2411ea93,0,39,160,445,580,310,0.083333333,0,796.3636364,0.113332975,55,2347
4a78ffed,0,36,124,1152,1152,1152,0.041666667,0.1,364.0625,0.113333283,16,690
551a5cc0,0,57,128,1109.965,1922.76,460,0.166666667,0.024,819.9300699,0.113902349,143,3158
58abfdd6,0,35,117,215,215,215,0.041666667,0,608.1463415,0.113333295,41,1528
3167d23d,0,54,103,525,525,525,0.041666667,0,608.1463415,0.113333295,41,1528
e4b41acf,0,47,103,650,650,650,0.041666667,0,1086.551724,0.120247568,58,3205
e144a302,0,67,90,1770,1770,1770,0.041666667,0,1002.307692,0.108974355,13,767
7f3d3fb8,0,63,158,190,190,190,0.041666667,0,233.5111111,0.108005725,45,298
e5c3dd1d,1,39,135,270,270,270,0.041666667,0,1242.692308,0.114350441,26,4334
bf8ceeab,0,43,103,3620,3620,3620,0.041666667,0,1242.692308,0.114350441,26,4334
c5cbf8c5,0,53,117,322.3928571,960,69,0.583333333,0.0025,589.8823529,0.116239291,17,603
8a9f309e,0,40,103,1738.023077,4860,6,0.541666667,0.059335156,1242.692308,0.114350441,26,4334
255751a5,0,42,111,1914,4032,802,0.25,0.068508725,796.3636364,0.113332975,55,2347
d9ce5d15,1,36,23,320,320,320,0.043478261,0,829.75,0.113333345,40,3000
5d3dbf45,0,42,103,2076,2412,1740,0.083333333,0,1340,0.10897436,33,2862
1a644d6a,0,41,101,3616.5,3623,3610,0.083333333,0,1086.551724,0.120247568,58,3205
252a0764,0,33,101,830,830,830,0.041666667,0,364.0625,0.113333283,16,690
a33fb48f,0,34,132,970,970,970,0.041666667,0,1086.551724,0.120247568,58,3205
b67e34eb,0,33,98,2085,2590,1580,0.083333333,0,640.0943396,0.116403826,53,1712
95fc658a,0,42,98,1968.5,5780,320,0.416666667,0.104532923,819.9300699,0.113902349,143,3158
8827e1cf,0,40,107,4392.333333,6620,2570,0.125,0.089200309,1242.692308,0.114350441,26,4334
3c2b441c,0,63,89,305,320,290,0.083333333,0,1280.356164,0.114447958,73,562
d229f4c7,0,42,79,734.6769231,1759,216,0.541666667,0.016195652,341.6,0.114350483,25,1746
fa8e507d,0,43,102,3232.5,5640,637,0.166666667,0,1242.692308,0.114350441,26,4334
35a6dd06,0,36,14,270,270,270,0.071428571,0,1242.692308,0.114350441,26,4334
36438cd3,1,39,95,2390,5450,480,0.125,0,1242.692308,0.114350441,26,4334
4ccdb492,0,39,61,743.625,1583,212,0.333333333,0,341.6,0.114350483,25,1746
d9909070,0,42,95,2922.818182,6282,1050,0.458333333,0.00972668,608.1463415,0.113333295,41,1528
feee17cd,0,37,96,1210,1210,1210,0.041666667,0,796.3636364,0.113332975,55,2347
469e824a,0,38,97,3950,3950,3950,0.041666667,0,2953.783784,0.113333334,37,550
30859236,0,43,103,3580,3580,3580,0.041666667,0,1242.692308,0.114350441,26,4334
647e3931,0,34,14,2455.4,3790.8,1120,0.142857143,0.181578947,1340,0.10897436,33,2862
1ec6e56e,0,50,97,259.6666667,385,195,0.125,0,341.6,0.114350483,25,1746
1a68d342,0,30,12,938.75,1870,280,0.333333333,0.05,1242.692308,0.114350441,26,4334
bd4a9fec,0,37,1,3414.7,6070,850,5,0.010526316,1340,0.10897436,33,2862
31e86623,0,24,94,1309.111538,3710,202,1.083333333,0.072172115,341.6,0.114350483,25,1746
77c805bc,0,48,112,330,330,330,0.083333333,0,829.75,0.113333345,40,3000
f3e418be,0,44,98,1865,2680,1050,0.083333333,0,1242.692308,0.114350441,26,4334
275f078b,0,35,112,3090,3090,3090,0.041666667,0,1242.692308,0.114350441,26,4334
55f7cf1a,0,42,107,990,1250,730,0.083333333,0,733.15625,0.119145296,64,407
b45f1564,0,56,94,1928.75,3869,500,0.166666667,0.041666667,796.3636364,0.113332975,55,2347
670987de,0,47,112,1350,1350,1350,0.041666667,0,1242.692308,0.114350441,26,4334
b2ccc66d,0,36,109,2125,2125,2125,0.041666667,0,1242.692308,0.114350441,26,4334
6bf16696,0,30,93,1070,1070,1070,0.041666667,0,640.0943396,0.116403826,53,1712
ca8725d9,0,32,92,1728.4,3648,270,0.208333333,0,1242.692308,0.114350441,26,4334
4bffb411,0,33,103,198,200,196,0.083333333,0.01,364.0625,0.113333283,16,690
cf3cc2ec,0,36,100,1180,1180,1180,0.041666667,0,640.0943396,0.116403826,53,1712
90808004,0,37,107,400,480,320,0.083333333,0,829.75,0.113333345,40,3000
66cb6b2a,0,35,111,950,950,950,0.041666667,0,1340,0.10897436,33,2862
dbbcd6bb,0,37,91,2967,8780,565,0.375,0.024664158,2584.186047,0.113333335,43,147
af59ed70,0,37,104,695,695,695,0.041666667,0,829.75,0.113333345,40,3000
338cf264,0,32,104,1550,4500,250,0.166666667,0.01754386,2953.783784,0.113333334,37,550
52ce2c07,0,62,91,560,890,230,0.083333333,0.25,608.1463415,0.113333295,41,1528
41b991f3,0,48,95,1790,3040,540,0.083333333,0,1086.551724,0.120247568,58,3205
d81ecf82,0,51,91,1746.111111,4800,395,0.375,0.026714142,589.8823529,0.116239291,17,603
2232e1bd,0,39,91,737.3333333,870,472,0.125,0,1002.307692,0.108974355,13,767
5573bfc1,0,46,103,1585.333333,3220,640,0.25,0.041891892,1002.307692,0.108974355,13,767
a4d4570e,0,54,116,300,300,300,0.041666667,0,1086.551724,0.120247568,58,3205
f9619d15,0,64,136,695,695,695,0.041666667,0,589.8823529,0.116239291,17,603
f858607e,0,44,91,3204.888889,6460,290,0.375,0,1242.692308,0.114350441,26,4334
ebc2758f,0,44,12,3913.714286,15815,855,0.583333333,0.09526089,341.6,0.114350483,25,1746
d08a1bc3,0,38,103,295,295,295,0.041666667,0,796.3636364,0.113332975,55,2347
c12b9096,0,39,21,1915,1915,1915,0.047619048,0,829.75,0.113333345,40,3000
2fe17f81,0,35,108,838.3333333,1225,350,0.125,0,589.8823529,0.116239291,17,603
7eab0525,0,33,98,605.0333333,1177.2,89,0.25,0.0625,608.1463415,0.113333295,41,1528
7a6011b7,0,34,53,505.7857143,990,256.5,0.291666667,0.072258182,341.6,0.114350483,25,1746
a3d0a926,0,47,91,1787.142857,5080,170,0.291666667,0.075509533,608.1463415,0.113333295,41,1528
45178d6f,0,46,106,2000,3360,640,0.083333333,0,819.9300699,0.113902349,143,3158
22caf076,0,32,151,525,660,390,0.083333333,0,608.1463415,0.113333295,41,1528
1cbbf525,0,44,49,493.92,1246,144,0.208333333,0.024,341.6,0.114350483,25,1746
c130eebc,0,36,91,1260.5,1980,358,0.333333333,0.008333333,819.9300699,0.113902349,143,3158
379c4d64,0,48,102,921.5,1476,367,0.083333333,0.08,796.3636364,0.113332975,55,2347
7cdaa46e,0,53,96,1037.375,3580,210,0.333333333,0.016620591,640.0943396,0.116403826,53,1712
109bad37,0,43,111,847.5,1305,390,0.083333333,0,796.3636364,0.113332975,55,2347
320a1bc1,0,51,92,320,320,320,0.041666667,0,1340,0.10897436,33,2862
28e0d4f7,0,33,93,320,320,320,0.041666667,0,829.75,0.113333345,40,3000
510c3c78,0,31,92,300,300,300,0.041666667,0,1086.551724,0.120247568,58,3205
6d5aa887,0,49,13,2106,3440,380,0.230769231,0,733.15625,0.119145296,64,407
7aedc479,0,54,2,1836.666667,3900,23,3,0.258081201,2953.783784,0.113333334,37,550
a39d7315,0,36,79,1683.333333,2220,620,0.125,0,1340,0.10897436,33,2862
cbdfec19,0,37,93,1389,1930,860,0.208333333,0.030246775,1242.692308,0.114350441,26,4334
ddf47f88,0,56,91,1132.033333,1900,681.1,0.125,0.004,1340,0.10897436,33,2862
fd9c66e3,1,55,93,895,895,895,0.041666667,0,1242.692308,0.114350441,26,4334
b5e93034,0,33,104,480,480,480,0.041666667,0,608.1463415,0.113333295,41,1528
826bb28a,1,54,74,1899,3908,279,0.166666667,0.056094762,1086.551724,0.120247568,58,3205
5748f1c2,0,37,92,1467.5,2600,335,0.083333333,0,819.9300699,0.113902349,143,3158
061dc8ef,0,47,92,1712.5,1755,1670,0.083333333,0,1242.692308,0.114350441,26,4334
0a590bfe,0,60,92,859,1260,458,0.083333333,0,1002.307692,0.108974355,13,767
3e9837f5,0,30,22,2229,3500,958,0.090909091,0,1242.692308,0.114350441,26,4334
e7596b83,0,40,91,300,300,300,0.041666667,0,819.9300699,0.113902349,143,3158
afa344a7,0,36,90,170,170,170,0.041666667,0,608.1463415,0.113333295,41,1528
1912675e,0,31,90,2142,2142,2142,0.041666667,0.1,608.1463415,0.113333295,41,1528
62768d34,0,34,90,2341.241667,5562,274.4,0.5,0.153395688,1242.692308,0.114350441,26,4334
a9755da2,1,36,89,3606.666667,8440,700,0.125,0.102501469,2584.186047,0.113333335,43,147
dee0a310,0,48,108,1946.69,5331.5,205,0.416666667,0.072290044,1242.692308,0.114350441,26,4334
433950c0,0,46,89,3419.875,9427.5,310,0.333333333,0.070995655,1242.692308,0.114350441,26,4334
4835a288,0,42,89,485.6666667,1530,131,0.25,0,341.6,0.114350483,25,1746
1d22a0e2,0,25,89,1140,2580,280,0.208333333,0,829.75,0.113333345,40,3000
9386c3aa,0,33,74,2348,2348,2348,0.041666667,0,796.3636364,0.113332975,55,2347
78a26217,0,31,89,3487.5,7100,1120,0.166666667,0.056002921,656.5,0.113333342,20,1047
2e13060d,0,27,88,310,310,310,0.041666667,0,796.3636364,0.113332975,55,2347
ebe9651c,0,46,124,300,300,300,0.041666667,0,341.6,0.114350483,25,1746
2159f955,0,30,88,1040,1040,1040,0.041666667,0,819.9300699,0.113902349,143,3158
b34e3be7,0,48,87,592,1420,300,0.208333333,0,829.75,0.113333345,40,3000
8a0896e9,0,36,88,820,820,820,0.041666667,0,1242.692308,0.114350441,26,4334
a8b05793,0,33,95,3097.04,9296,1010,0.208333333,0.003333333,1086.551724,0.120247568,58,3205
8d6d2e06,0,41,87,3866.666667,6410,900,0.125,0,1086.551724,0.120247568,58,3205
73770fee,0,33,89,3330.666667,6350,1590,0.125,0.025,1086.551724,0.120247568,58,3205
283667ea,0,32,48,1451.142857,3135,60,0.291666667,0.067194954,733.15625,0.119145296,64,407
b5d697e6,0,48,88,945,945,945,0.041666667,0.1,1086.551724,0.120247568,58,3205
ef979b3e,1,34,97,217.5,390,45,0.083333333,0,608.1463415,0.113333295,41,1528
dd213112,0,32,88,743.3272727,1460,125,0.458333333,0.054293292,1086.551724,0.120247568,58,3205
919362aa,1,43,88,2121.25,3503,1161,0.166666667,0,1242.692308,0.114350441,26,4334
44cdb25b,1,44,87,3042,6912,605,0.208333333,0.014300014,796.3636364,0.113332975,55,2347
f34e2f40,0,45,8,1572,2220,920,0.5,0,1086.551724,0.120247568,58,3205
b1d1efcc,0,47,124,745.7,1881.6,90,0.125,0.117719298,1242.692308,0.114350441,26,4334
96ef782f,0,32,109,928.6166667,4196.7,105,0.25,0.016666667,796.3636364,0.113332975,55,2347
75da133e,0,37,4,1825,1825,1825,0.25,0,1242.692308,0.114350441,26,4334
0d31d026,0,54,21,1925,2500,1350,0.095238095,0,1086.551724,0.120247568,58,3205
cabe6636,0,29,86,1273.75,2105,480,0.166666667,0.044442172,608.1463415,0.113333295,41,1528
bd830829,0,50,86,1791.333333,3325,359,0.125,0,1242.692308,0.114350441,26,4334
1ec14105,0,48,85,866.75,1701,320,0.166666667,0,829.75,0.113333345,40,3000
a20d6656,0,46,85,573.125,1194,320,0.333333333,0,341.6,0.114350483,25,1746
7ad17a41,0,33,85,2585.166667,5030,1188,0.25,0.095469637,589.8823529,0.116239291,17,603
948b4054,0,41,85,1429.5,1630,1229,0.083333333,0,1086.551724,0.120247568,58,3205
d0eb42d9,0,38,23,624.8333333,2100,260,0.260869565,0,1340,0.10897436,33,2862
e5c35560,0,44,86,6682.33,9400.16,3964.5,0.083333333,0.08,1340,0.10897436,33,2862
35f5de03,0,54,86,984.6666667,1334,620,0.125,0,1340,0.10897436,33,2862
b89a6248,0,48,86,1872,1872,1872,0.041666667,0.1,796.3636364,0.113332975,55,2347
94255348,0,35,87,1840.5,5490,320,0.5,0.01780624,819.9300699,0.113902349,143,3158
299e47a7,0,47,87,320,320,320,0.041666667,0,1340,0.10897436,33,2862
ba3df114,0,47,87,300,300,300,0.041666667,0,1086.551724,0.120247568,58,3205
21a6c76d,1,47,87,4861,9152,570,0.083333333,0.139240506,1340,0.10897436,33,2862
eb2ec682,0,47,87,1540,1540,1540,0.041666667,0.037313433,589.8823529,0.116239291,17,603
5c8af4ff,0,30,49,1080,1080,1080,0.041666667,0,1086.551724,0.120247568,58,3205
babe53c7,0,45,87,4150,4150,4150,0.041666667,0,1086.551724,0.120247568,58,3205
9040372f,1,32,87,215,280,150,0.083333333,0,341.6,0.114350483,25,1746
06602a1e,0,34,85,1123.75,1705,545,0.166666667,0,589.8823529,0.116239291,17,603
1d1f48c8,0,53,85,2727.272727,6606,460,0.458333333,0.058716915,1086.551724,0.120247568,58,3205
2a254306,0,32,23,4260.071429,23276,201.5,0.304347826,0.0804215,829.75,0.113333345,40,3000
